Arbeitspaket_ID,Arbeitspaket,Abhaengigkeit,Geplanter_Beginn,Geplantes_Ende,Geplanter_Aufwand_Stunden,Tatsaechlicher_Aufwand_Stunden,Status,Ergebnis,Abweichung,Begruendung,Nachweis
AP18,"ConfigMaps, Secrets und sichere Bereitstellung","AP17","2026-08-18","2026-08-18","6","","Erledigt","ConfigMap-/Secret-Trennung, create-local-secrets.sh und Argo-CD-Verhalten für extern verwaltete Secrets dokumentiert.","Secret-Rotation wurde zusätzlich praktisch als Fehler-/Restore-Fall bewertet.","Kubernetes-Secret-Werte dürfen nicht in Git oder Screenshots erscheinen; daher wurden nur Referenzen und Schlüsselnamen nachgewiesen.","dokumentation/06_kubernetes_sicherheit_und_betrieb.docx; AP28 D11; F05"
AP19,"Probes, Ressourcen, SecurityContext und Pod Sicherheit","AP18","2026-08-19","2026-08-19","6","","Erledigt","Startup-/Readiness-/Liveness-Probes sowie Requests/Limits und SecurityContext umgesetzt und getestet.","Zusätzliche Wiederholungstests durch Readiness- und Liveness-Fehlerfälle.","Kontrollierte Probe-Fehler waren für den Nachweis von Restart- und Readiness-Verhalten erforderlich.","Tests T23-T25; F06; AP28 D10"
AP20,"Ingress und NetworkPolicies","AP19","2026-08-20","2026-08-20","7","","Erledigt mit dokumentierter Plattformgrenze","Ingress und NetworkPolicy-Konzept mit positiven und negativen Verbindungstests umgesetzt.","NetworkPolicy-Durchsetzung war in der lokalen Docker-Desktop-Konstellation nicht vollständig reproduzierbar.","Die technische Einschränkung der lokalen Netzwerklösung wurde transparent dokumentiert; die YAML-Regeln wurden dennoch fachlich korrekt umgesetzt.","Tests T19-T22; AP28 D13; screenshots/21_tests/"
AP21,"HPA, PDB, LimitRange und ResourceQuota","AP19","2026-08-21","2026-08-21","6","","Erledigt","HPA, PDB, LimitRange, ResourceQuota und metrics-server eingerichtet; Skalierung und Rückskalierung getestet.","Zusätzliche Analyse eines HPA-/Argo-CD-Replicas-Konflikts.","Dynamisch vom HPA verwaltete Replicas mussten in Argo CD gezielt über ignoreDifferences behandelt werden.","Test T26; AP28 D07; Commit 13ddb74"
AP22,"Argo CD Installation, AppProject und Applications","AP15; AP21","2026-08-24","2026-08-24","7","","Erledigt","M08: Argo CD mit getrennten Applications für pacman-dev und pacman-prod; Dev Auto-Sync/Self-Heal, Prod kontrollierter manueller Sync.","Drift-/Self-Heal-Test ergänzte die reine Installationsprüfung.","Der GitOps-Sollzustand wurde bewusst gegen eine kontrollierte Live-Abweichung getestet.","Test T27; Argo CD Synced/Healthy; pacman-gitops/clusters/docker-desktop/argocd/"
AP23,"GitOps Releasefluss und Promotion von dev nach prod","AP22; AP14","2026-08-24","2026-08-25","8","","Erledigt","M09: Geprüften Dev-Commit-SHA über PR #36 nach Prod promotet und über PR #37 auf vorherigen Stand zurückgerollt.","Prod synchronisiert nicht automatisch; nach Git-Merge war ein manueller Argo-CD-Sync erforderlich.","Die manuelle Prod-Synchronisierung ist eine bewusste Freigabekontrolle und kein Fehler; Git bleibt dennoch der verbindliche Sollzustand.","PR #36, Merge f62e055; PR #37, Merge f051d60; Tests T28/T29"
AP24,"Monitoring, Grafana und Alerts","AP21; AP22","2026-08-25","2026-08-25","7","","Erledigt","M10: Prometheus-/Grafana-Monitoring und betriebliche Alert-Szenarien in den Projektbetrieb integriert.","Keine belastbar erfasste Zeitabweichung vorhanden.","Monitoring wurde vor Projektabschluss bearbeitet und nicht ausschließlich auf den letzten Tag verschoben.","dokumentation/08_monitoring_backup_restore.docx; screenshots/17_monitoring/"
AP25,"MongoDB Backup CronJob und praktischer Restore Job","AP17; AP18","2026-08-25","2026-08-26","7","","Erledigt","M11: Backup-CronJob erfolgreich nachgewiesen; mehrere Jobs SUCCEEDED=1 und Backup-Dateierstellung im Log bestätigt.","Backup-Fehlerfall mit falschem MongoDB-Hostname erforderte zusätzlichen Fix und Nachtest.","Der fehlerhafte Hostname wurde kontrolliert reproduziert; nach Fix liefen Backups wieder erfolgreich.","Commit 374dbfe; Fix a3c4118; Job mongodb-backup-29791890; F08"
AP26,"Betriebsautomatisierung und Diagnosewerkzeuge","AP22; AP24; AP25","2026-08-26","2026-08-26","5","","Umgesetzt; Detailnachweise weiter zu konsolidieren","Betriebs- und Diagnoseverfahren sind Bestandteil der Übergabe; Projektstatus, kubectl-/Argo-CD- und Fehlerdiagnose wurden praktisch verwendet.","Die endgültige Konsolidierung der Übergabe-/Betriebsdokumentation erfolgt nach den technischen AP-Dokumenten.","Technische Umsetzung ist vorhanden; die separate Abschlussdokumentation wird aktuell schrittweise mit echten Daten konsolidiert.","dokumentation/10_uebergabe_und_betriebsanleitung.docx; Betriebsbefehle und Diagnoseausgaben"
AP27,"Verbindliche Anforderungen an GitHub Actions und Skripte","AP13-AP26","2026-08-11","2026-08-26","2","","Querschnittsvorgabe","Security-, Fehlerbehandlungs- und Least-Privilege-Anforderungen wurden als Querschnittsvorgaben berücksichtigt.","Kein eigenständiges technisches Arbeitspaket; Anforderungen liefen parallel zu CI, Release, GitOps und Betrieb.","Abschnitt 27 der Prüfungsaufgabe definiert verbindliche Qualitätsregeln statt eines separaten Implementierungsartefakts.","GitHub Actions Workflows; Skripte; Security- und Fehlernachweise"
AP28,"DevOps Fälle","AP13-AP26","2026-08-17","2026-08-25","7","","Erledigt","M12: 15 DevOps-Fälle mit Diagnose, Ursache, Maßnahme und Nachtest dokumentiert.","Umfang über den Projektverlauf verteilt statt erst am Ende durchgeführt.","Die Prüfungsanforderung verlangt realistische Betriebsfälle; sie wurden begleitend zur technischen Umsetzung reproduziert.","daten/devopsfaelle.csv; dokumentation/AP29_09_tests_fehler_und_devopsfaelle.docx; screenshots/20_devopsfaelle/"
AP29,"Testkonzept und Testprotokoll","AP08-AP28","2026-08-17","2026-08-26","8","","Erledigt","30 Tests T01-T30 konsolidiert; positive und negative Tests sowie GitOps-Promotion/Rollback und Prod-Abnahme dokumentiert.","Testdurchführung wurde über mehrere Projekttage verteilt und später konsolidiert.","Tests begannen während der Umsetzung; die abschließende CSV-/Word-Konsolidierung erfolgte nach Vorliegen der Nachweise.","daten/testprotokoll.csv; AP29_09_tests_fehler_und_devopsfaelle.docx; screenshots/21_tests/"
AP30,"Fehlerprotokoll und kontrollierte Fehleranalyse","AP28; AP29","2026-08-18","2026-08-26","7","","Erledigt","Acht Pflichtfehler F01-F08 mit Symptom, Hypothese, Prüfung, Ursache, Maßnahme und erfolgreichem Nachtest dokumentiert.","Fehlerfälle wurden aus realen bzw. kontrolliert reproduzierten Projektproblemen konsolidiert.","Die Fehleranalyse wurde bewusst nicht nur als Enddokumentation geführt, sondern mit technischen Nachtests abgeschlossen.","daten/fehlerprotokoll.csv; screenshots/22_fehleranalyse/; konsolidierte Fehlerdokumentation"
